Age	Male babies	Female babies	Annotations
1841	40.15	42.25	
1842	40.07	41.92	
1843	40.59	42.62	
1844	40.20	42.28	
1845	41.12	43.22	
1846	39.08	41.22	
1847	37.46	39.57	
1848	38.81	40.97	
1849	36.82	38.54	
1850	41.83	43.71	
1851	39.97	41.93	
1852	39.35	41.47	
1853	38.86	41.11	
1854	38.52	40.44	
1855	39.62	41.86	
1856	41.36	43.58	
1857	39.99	41.86	
1858	38.59	40.50	
1859	39.44	41.37	
1860	40.76	43.13	
1861	40.45	42.79	
1862	40.94	43.32	
1863	39.19	41.55	
1864	38.37	40.80	
1865	38.40	41.10	
1866	38.77	41.40	
1867	40.54	43.45	
1868	40.37	43.03	
1869	39.94	42.74	
1870	39.16	42.05	
1871	39.62	42.65	
1872	41.17	44.27	
1873	41.66	44.92	
1874	40.62	43.59	
1875	39.91	42.99	
1876	40.96	44.37	
1877	41.93	45.45	
1878	40.45	43.63	
1879	41.88	45.13	
1880	41.37	44.58	
1881	43.46	46.65	
1882	42.47	45.50	
1883	42.37	45.66	
1884	42.07	45.20	
1885	43.01	46.13	
1886	43.02	46.15	
1887	43.56	46.60	
1888	44.59	47.97	
1889	44.29	47.57	
1890	42.29	45.95	
1891	42.63	46.23	
1892	43.90	47.28	
1893	43.02	46.34	
1894	46.57	49.98	
1895	43.71	47.11	
1896	45.40	48.74	
1897	44.58	48.31	
1898	44.36	47.92	
1899	43.46	47.03	
1900	43.72	47.52	
1901	45.03	48.83	
1902	46.44	50.27	
1903	47.66	51.42	
1904	46.33	49.96	
1905	48.10	51.74	
1906	47.70	51.49	
1907	48.67	52.46	
1908	49.04	53.00	
1909	49.85	53.49	
1910	51.34	55.17	
1911	49.39	53.06	
1912	52.56	56.08	
1913	51.43	55.28	
1914	51.29	55.13	WW1 starts
1915	48.39	54.02	
1916	51.95	56.53	
1917	51.42	56.89	
1918	44.64	49.91	WW1 ends
1919	52.50	56.12	
1920	55.82	58.69	
1921	56.15	60.02	
1922	55.56	59.32	
1923	57.11	61.06	
1924	56.20	60.09	
1925	56.38	60.24	
1926	57.61	61.56	
1927	56.90	60.95	
1928	58.07	62.21	
1929	55.61	59.61	
1930	58.70	62.97	
1931	57.79	61.81	
1932	58.47	62.37	
1933	58.31	62.16	
1934	59.29	63.16	
1935	60.02	63.97	
1936	59.70	63.89	
1937	59.74	63.90	
1938	60.97	65.39	
1939	61.37	65.60	WW2 starts
1940	57.79	63.20	
1941	59.02	64.19	
1942	61.92	66.71	
1943	61.81	66.72	
1944	62.41	67.58	
1945	62.73	67.95	WW2 ends
1946	64.14	68.67	
1947	63.94	68.53	
1948	65.86	70.29	
1949	65.56	69.95	
1950	66.09	70.61	
1951	65.68	70.65	
1952	66.89	72.12	
1953	67.12	72.24	
1954	67.40	72.72	
1955	67.33	72.70	
1956	67.57	72.99	
1957	67.64	73.23	
1958	67.76	73.39	
1959	67.89	73.48	
1960	68.06	73.82	
1961	68.02	73.87	
1962	68.03	73.99	
1963	67.92	73.93	
1964	68.65	74.78	
1965	68.58	74.81	
1966	68.46	74.73	
1967	69.09	75.23	
1968	68.73	74.90	
1969	68.63	74.96	
1970	68.89	75.19	
1971	69.24	75.51	
1972	69.02	75.24	
1973	69.23	75.46	
1974	69.45	75.65	
1975	69.70	75.85	
1976	69.73	75.85	
1977	70.23	76.33	
1978	70.17	76.30	
1979	70.33	76.41	
1980	70.78	76.78	
1981	71.10	77.08	
1982	71.27	77.18	
1983	71.51	77.42	
1984	71.94	77.78	
1985	71.85	77.57	
1986	72.07	77.88	
1987	72.47	78.16	
1988	72.61	78.26	
1989	72.85	78.33	
1990	73.07	78.71	
1991	73.30	78.79	
1992	73.74	79.15	
1993	73.71	79.00	
1994	74.28	79.53	
1995	74.22	79.43	
1996	74.46	79.54	
1997	74.75	79.70	
1998	74.96	79.92	
1999	75.20	80.00	
2000	75.60	80.36	
2001	75.92	80.57	
2002	76.09	80.71	
2003	76.31	80.69	
2004	76.87	81.24	
2005	77.15	81.42	
2006	77.47	81.73	
2007	77.73	81.88	
2008	77.88	81.93	
2009	78.34	82.31	
2010	78.82	82.62	
2011	79.14	82.88	
2012	79.44	83.14	
2013	79.74	83.39	
2014	80.02	83.63	
2015	80.29	83.87	
2016	80.55	84.11	
2017	80.79	84.34	
2018	81.03	84.56	
2019	81.25	84.78	
2020	81.46	84.99	
2021	81.66	85.20	
2022	81.85	85.40	
2023	82.03	85.59	
2024	82.20	85.77	
2025	82.36	85.95	
2026	82.52	86.12	
2027	82.66	86.29	
2028	82.80	86.44	
2029	82.94	86.59	
2030	83.07	86.73	
2031	83.19	86.86	
2032	83.31	86.98	
2033	83.43	87.09	
2034	83.55	87.20	
2035	83.66	87.30	
2036	83.78	87.41	
2037	83.89	87.51	
2038	84.00	87.61	
2039	84.11	87.71	
2040	84.23	87.81	
2041	84.34	87.91	
2042	84.45	88.01	
2043	84.56	88.11	
2044	84.67	88.21	
2045	84.78	88.31	
2046	84.89	88.41	
2047	85.00	88.51	
2048	85.11	88.61	
2049	85.23	88.71	
2050	85.34	88.80	
2051	85.45	88.90	
2052	85.56	89.00	
2053	85.67	89.10	
2054	85.78	89.20	
2055	85.89	89.30	
2056	86.00	89.39	
2057	86.11	89.49	
2058	86.21	89.59	
2059	86.32	89.69	
2060	86.43	89.78	
2061	86.54	89.88	
2062	86.65	89.98	
2063	86.76	90.08	
2064	86.87	90.18	
2065	86.98	90.27	
2066	87.09	90.37	
2067	87.20	90.47	
2068	87.31	90.57	
2069	87.42	90.66	
2070	87.53	90.76	
2071	87.64	90.86	
2072	87.74	90.96	
2073	87.85	91.05	
2074	87.96	91.15	
2075	88.07	91.25	
2076	88.18	91.35	
2077	88.29	91.44	
2078	88.40	91.54	
2079	88.50	91.64	
2080	88.61	91.73	
2081	88.72	91.83	
2082	88.83	91.93	
2083	88.94	92.03	